aspect,keyword_matched,sentence,sentiment_score,review_id,product_id,brand
Material,material,The material started fine but degraded,-0.5106,R7N89LTAJW2536,B656A00C3F,Skybags
Material,build,Sturdy build,0.0,R9C80EBKJF4AQ7,B656A00C3F,Skybags
Durability,sturdy,Sturdy build,0.0,R9C80EBKJF4AQ7,B656A00C3F,Skybags
Handle,handle,handle wobble though,0.0,R9C80EBKJF4AQ7,B656A00C3F,Skybags
Material,material,The material is mediocre,0.0,R9C80EBKJF4AQ7,B656A00C3F,Skybags
Material,build,Sturdy build,0.0,RTCZS8S2FTOM5X,B656A00C3F,Skybags
Durability,sturdy,Sturdy build,0.0,RTCZS8S2FTOM5X,B656A00C3F,Skybags
Size & Capacity,pockets,The interiors are well-organized with multiple pockets,0.0,RTCZS8S2FTOM5X,B656A00C3F,Skybags
Wheels,wheels,wheels quality is commendable,0.0,RTCZS8S2FTOM5X,B656A00C3F,Skybags
Durability,quality,wheels quality is commendable,0.0,RTCZS8S2FTOM5X,B656A00C3F,Skybags
Durability,quality,Great quality for the price,0.6249,R6WW8YL68NTK63,B656A00C3F,Skybags
Material,build,Sturdy build,0.0,R6WW8YL68NTK63,B656A00C3F,Skybags
Durability,sturdy,Sturdy build,0.0,R6WW8YL68NTK63,B656A00C3F,Skybags
Wheels,wheels,The wheels works smoothly,0.0,R6WW8YL68NTK63,B656A00C3F,Skybags
Durability,quality,Mediocre quality,0.0,RS8G8TACY15PDT,B656A00C3F,Skybags
Material,build,Sturdy build but price for quality,0.0,RS8G8TACY15PDT,B656A00C3F,Skybags
Durability,sturdy,Sturdy build but price for quality,0.0,RS8G8TACY15PDT,B656A00C3F,Skybags
Material,build,"The build quality is okay, nothing extraordinary",0.2263,RS8G8TACY15PDT,B656A00C3F,Skybags
Durability,build quality,"The build quality is okay, nothing extraordinary",0.2263,RS8G8TACY15PDT,B656A00C3F,Skybags
Durability,quality,Mediocre quality,0.0,RBCGJC36OQOLOE,B656A00C3F,Skybags
Durability,quality,Average quality,0.0,RBCGJC36OQOLOE,B656A00C3F,Skybags
Handle,handle,"Stylish design which is nice, but handle wobble",0.2263,RBCGJC36OQOLOE,B656A00C3F,Skybags
Wheels,wheels,"Stylish design, sturdy build, and excellent wheels",0.5719,RD2KD1POXRTEO2,B656A00C3F,Skybags
Material,build,"Stylish design, sturdy build, and excellent wheels",0.5719,RD2KD1POXRTEO2,B656A00C3F,Skybags
Durability,sturdy,"Stylish design, sturdy build, and excellent wheels",0.5719,RD2KD1POXRTEO2,B656A00C3F,Skybags
Size & Capacity,compartments,The compartments is really impressive,0.5563,RAVT8K06MOXSFH,B656A00C3F,Skybags
Size & Capacity,spacious,Spacious,0.0,RCYJHU8MYIKCGR,B656A00C3F,Skybags
Size & Capacity,spacious,Compact yet spacious,0.0,RCYJHU8MYIKCGR,B656A00C3F,Skybags
Wheels,wheels,The wheels deserves special mention,0.4019,RCYJHU8MYIKCGR,B656A00C3F,Skybags
Material,material,"Spacious, color options, and excellent material",0.5719,RE05QMKTGV44FT,B04E7EBCC4,Skybags
Size & Capacity,spacious,"Spacious, color options, and excellent material",0.5719,RE05QMKTGV44FT,B04E7EBCC4,Skybags
Size & Capacity,spacious,Stylish design and spacious,0.0,RBUOV6TT9Q1NI1,B04E7EBCC4,Skybags
Handle,handle,Really impressed with the handle,0.5256,RBUOV6TT9Q1NI1,B04E7EBCC4,Skybags
Wheels,wheels,The wheels makes it very convenient to use,0.0,RFSQG8X80RMHRC,B04E7EBCC4,Skybags
Size & Capacity,spacious,Spacious and color options,0.0,RBXD8WJ0UUNNV6,B04E7EBCC4,Skybags
Durability,quality,Skybags quality is reliable,0.0,RBXD8WJ0UUNNV6,B04E7EBCC4,Skybags
Material,build,Sturdy build,0.0,R5A5PISKFFV3XO,B04E7EBCC4,Skybags
Durability,sturdy,Sturdy build,0.0,R5A5PISKFFV3XO,B04E7EBCC4,Skybags
Size & Capacity,spacious,Compact yet spacious,0.0,R5A5PISKFFV3XO,B04E7EBCC4,Skybags
Size & Capacity,compartments,The compartments deserves special mention,0.4019,R5A5PISKFFV3XO,B04E7EBCC4,Skybags
Material,build,The build quality is even better than my previous bag,0.4404,RXOIEVES6FF7SO,B04E7EBCC4,Skybags
Durability,build quality,The build quality is even better than my previous bag,0.4404,RXOIEVES6FF7SO,B04E7EBCC4,Skybags
Material,build,"The build quality is good, Spacious",0.4404,R5G3V23GXJ0MQV,B04E7EBCC4,Skybags
Size & Capacity,spacious,"The build quality is good, Spacious",0.4404,R5G3V23GXJ0MQV,B04E7EBCC4,Skybags
Durability,build quality,"The build quality is good, Spacious",0.4404,R5G3V23GXJ0MQV,B04E7EBCC4,Skybags
Size & Capacity,packing,Packing was easy due to the spacious compartments,0.4404,R5G3V23GXJ0MQV,B04E7EBCC4,Skybags
Handle,handle,The handle is excellent,0.5719,R5G3V23GXJ0MQV,B04E7EBCC4,Skybags
Material,build,"The build quality is good, Spacious",0.4404,RDRWB2SEREV361,B04E7EBCC4,Skybags
Size & Capacity,spacious,"The build quality is good, Spacious",0.4404,RDRWB2SEREV361,B04E7EBCC4,Skybags
Durability,build quality,"The build quality is good, Spacious",0.4404,RDRWB2SEREV361,B04E7EBCC4,Skybags
Size & Capacity,packing,Packing was easy due to the spacious compartments,0.4404,RDRWB2SEREV361,B04E7EBCC4,Skybags
Wheels,wheels,The wheels is excellent,0.5719,RDRWB2SEREV361,B04E7EBCC4,Skybags
Material,build,"The build quality is good, Spacious",0.4404,RV01ZDERI4K5OG,B04E7EBCC4,Skybags
Size & Capacity,spacious,"The build quality is good, Spacious",0.4404,RV01ZDERI4K5OG,B04E7EBCC4,Skybags
Durability,build quality,"The build quality is good, Spacious",0.4404,RV01ZDERI4K5OG,B04E7EBCC4,Skybags
Size & Capacity,packing,Packing was easy due to the spacious compartments,0.4404,RV01ZDERI4K5OG,B04E7EBCC4,Skybags
Weight,weight,The weight is excellent,0.5719,RV01ZDERI4K5OG,B04E7EBCC4,Skybags
Handle,handle,The material feels durable and the handle is very smooth,0.0,RH2ODPVJTUW9OH,B04E7EBCC4,Skybags
Material,material,The material feels durable and the handle is very smooth,0.0,RH2ODPVJTUW9OH,B04E7EBCC4,Skybags
Durability,durable,The material feels durable and the handle is very smooth,0.0,RH2ODPVJTUW9OH,B04E7EBCC4,Skybags
Material,build,Sturdy build and spacious,0.0,R04X0QZFHOMTZZ,B04E7EBCC4,Skybags
Size & Capacity,spacious,Sturdy build and spacious,0.0,R04X0QZFHOMTZZ,B04E7EBCC4,Skybags
Durability,sturdy,Sturdy build and spacious,0.0,R04X0QZFHOMTZZ,B04E7EBCC4,Skybags
Durability,sturdy,Looks premium and feels sturdy,0.0,R04X0QZFHOMTZZ,B04E7EBCC4,Skybags
Durability,quality,The lock quality is really good for this price range,0.4927,R04X0QZFHOMTZZ,B04E7EBCC4,Skybags
Lock,lock,The lock quality is really good for this price range,0.4927,R04X0QZFHOMTZZ,B04E7EBCC4,Skybags
Material,build,"The build quality is good, Sturdy build",0.4404,RBN9WSZV83XPHX,B9115C8EF5,Skybags
Durability,build quality,"The build quality is good, Sturdy build",0.4404,RBN9WSZV83XPHX,B9115C8EF5,Skybags
Size & Capacity,packing,Packing was easy due to the spacious compartments,0.4404,RBN9WSZV83XPHX,B9115C8EF5,Skybags
Lock,lock,The lock is excellent,0.5719,RBN9WSZV83XPHX,B9115C8EF5,Skybags
Size & Capacity,fits,Fits all airline requirements,0.0,RMX9DJOYOHAZ7T,B9115C8EF5,Skybags
Material,material,material is of great quality,0.6249,RMX9DJOYOHAZ7T,B9115C8EF5,Skybags
Durability,quality,material is of great quality,0.6249,RMX9DJOYOHAZ7T,B9115C8EF5,Skybags
Material,build,"The build quality is good, Color options",0.4404,RUJODCK82853UY,B9115C8EF5,Skybags
Durability,build quality,"The build quality is good, Color options",0.4404,RUJODCK82853UY,B9115C8EF5,Skybags
Size & Capacity,packing,Packing was easy due to the spacious compartments,0.4404,RUJODCK82853UY,B9115C8EF5,Skybags
Lock,lock,The lock is excellent,0.5719,RUJODCK82853UY,B9115C8EF5,Skybags
Size & Capacity,spacious,Spacious and easy to maneuver,0.4404,RRJN2HZ2OMTZJK,B9115C8EF5,Skybags
Material,build,The build quality makes it very convenient to use,0.0,RRJN2HZ2OMTZJK,B9115C8EF5,Skybags
Durability,build quality,The build quality makes it very convenient to use,0.0,RRJN2HZ2OMTZJK,B9115C8EF5,Skybags
Durability,quality,Mediocre quality,0.0,RHUG07G0IIJI44,B9115C8EF5,Skybags
Durability,quality,Average quality,0.0,RHUG07G0IIJI44,B9115C8EF5,Skybags
Zipper,zipper,"Spacious which is nice, but zipper stiffness",0.2263,RHUG07G0IIJI44,B9115C8EF5,Skybags
Size & Capacity,spacious,"Spacious which is nice, but zipper stiffness",0.2263,RHUG07G0IIJI44,B9115C8EF5,Skybags
Size & Capacity,fits,Fits all airline requirements,0.0,R4NL65UJG1SO1E,B9115C8EF5,Skybags
Material,build,build quality is of great quality,0.6249,R4NL65UJG1SO1E,B9115C8EF5,Skybags
Durability,build quality,build quality is of great quality,0.6249,R4NL65UJG1SO1E,B9115C8EF5,Skybags
Durability,quality,Great quality for the price,0.6249,RAYNDN5GJJ8MGP,BC37D84A76,Skybags
Size & Capacity,spacious,Spacious,0.0,RAYNDN5GJJ8MGP,BC37D84A76,Skybags
Material,build,The build quality works smoothly,0.0,RAYNDN5GJJ8MGP,BC37D84A76,Skybags
Durability,build quality,The build quality works smoothly,0.0,RAYNDN5GJJ8MGP,BC37D84A76,Skybags
Size & Capacity,fits,Fits all airline requirements,0.0,RIDJIPNF8F3GR9,BC37D84A76,Skybags
Zipper,zipper,zipper is of great quality,0.6249,RIDJIPNF8F3GR9,BC37D84A76,Skybags
Durability,quality,zipper is of great quality,0.6249,RIDJIPNF8F3GR9,BC37D84A76,Skybags
Material,build,Sturdy build and spacious,0.0,RBDFHJ4D0JMU3M,BC37D84A76,Skybags
Size & Capacity,spacious,Sturdy build and spacious,0.0,RBDFHJ4D0JMU3M,BC37D84A76,Skybags
Durability,sturdy,Sturdy build and spacious,0.0,RBDFHJ4D0JMU3M,BC37D84A76,Skybags
Durability,sturdy,Looks premium and feels sturdy,0.0,RBDFHJ4D0JMU3M,BC37D84A76,Skybags
Material,build,The build quality quality is really good for this price range,0.4927,RBDFHJ4D0JMU3M,BC37D84A76,Skybags
Durability,build quality,The build quality quality is really good for this price range,0.4927,RBDFHJ4D0JMU3M,BC37D84A76,Skybags
Material,build,Sturdy build,0.0,RYR06NKWFG3MWU,BC37D84A76,Skybags
Durability,sturdy,Sturdy build,0.0,RYR06NKWFG3MWU,BC37D84A76,Skybags
Size & Capacity,pockets,The interiors are well-organized with multiple pockets,0.0,RYR06NKWFG3MWU,BC37D84A76,Skybags
Zipper,zipper,zipper quality is commendable,0.0,RYR06NKWFG3MWU,BC37D84A76,Skybags
Durability,quality,zipper quality is commendable,0.0,RYR06NKWFG3MWU,BC37D84A76,Skybags
Material,build,Sturdy build,0.0,RVO5270SQG4EIJ,BC37D84A76,Skybags
Durability,sturdy,Sturdy build,0.0,RVO5270SQG4EIJ,BC37D84A76,Skybags
Size & Capacity,compartments,The compartments impressed me the most,0.4767,RVO5270SQG4EIJ,BC37D84A76,Skybags
Material,material,The material feels durable and the build quality is very smooth,0.0,RS9DWD7OI0PESG,BC37D84A76,Skybags
Durability,durable,The material feels durable and the build quality is very smooth,0.0,RS9DWD7OI0PESG,BC37D84A76,Skybags
Size & Capacity,spacious,Spacious,0.0,R7TE8TVQ05PXT6,BC37D84A76,Skybags
Size & Capacity,spacious,Compact yet spacious,0.0,R7TE8TVQ05PXT6,BC37D84A76,Skybags
Size & Capacity,compartments,The compartments deserves special mention,0.4019,R7TE8TVQ05PXT6,BC37D84A76,Skybags
Material,build,Sturdy build and the lock is top notch,0.2023,RS1EKTYR1K12V2,BC37D84A76,Skybags
Durability,sturdy,Sturdy build and the lock is top notch,0.2023,RS1EKTYR1K12V2,BC37D84A76,Skybags
Lock,lock,Sturdy build and the lock is top notch,0.2023,RS1EKTYR1K12V2,BC37D84A76,Skybags
Durability,quality,Skybags quality is reliable,0.0,R0ONJPI163YK03,BC37D84A76,Skybags
Size & Capacity,fits,Fits all airline requirements,0.0,RWGABTGDJZ0IFR,BC37D84A76,Skybags
Size & Capacity,spacious,Spacious,0.0,RWGABTGDJZ0IFR,BC37D84A76,Skybags
Material,build,build quality is of great quality,0.6249,RWGABTGDJZ0IFR,BC37D84A76,Skybags
Durability,build quality,build quality is of great quality,0.6249,RWGABTGDJZ0IFR,BC37D84A76,Skybags
Size & Capacity,spacious,Spacious,0.0,RL48C1CQG433E1,BC37D84A76,Skybags
Material,build,The build quality impressed me the most,0.4767,RL48C1CQG433E1,BC37D84A76,Skybags
Durability,build quality,The build quality impressed me the most,0.4767,RL48C1CQG433E1,BC37D84A76,Skybags
Material,material,The material is even better than my previous bag,0.4404,R9RYLLWB7SJWH5,BC37D84A76,Skybags
Weight,weight,The weight impressed me the most,0.4767,RVOI8UYYF1IRYM,BC37D84A76,Skybags
Handle,handle,Spacious and the handle is top notch,0.2023,R9212PGYME6RPK,BC37D84A76,Skybags
Size & Capacity,spacious,Spacious and the handle is top notch,0.2023,R9212PGYME6RPK,BC37D84A76,Skybags
Size & Capacity,spacious,Spacious,0.0,R6TCFKJNAWNGA4,BC37D84A76,Skybags
Size & Capacity,compartments,The compartments impressed me the most,0.4767,R6TCFKJNAWNGA4,BC37D84A76,Skybags
Durability,quality,Great quality for the price,0.6249,RC4E5HRDU4XSZJ,BD33B5463E,Skybags
Size & Capacity,compartments,The compartments works smoothly,0.0,RC4E5HRDU4XSZJ,BD33B5463E,Skybags
Size & Capacity,spacious,Color options and spacious,0.0,R73QXM0632CWT0,BD33B5463E,Skybags
Wheels,wheels,Really impressed with the wheels,0.5256,R73QXM0632CWT0,BD33B5463E,Skybags
Size & Capacity,spacious,Spacious,0.0,RSIWG0ODWMQX5G,BD33B5463E,Skybags
Material,material,The material feels durable and the material is very smooth,0.0,RSIWG0ODWMQX5G,BD33B5463E,Skybags
Durability,durable,The material feels durable and the material is very smooth,0.0,RSIWG0ODWMQX5G,BD33B5463E,Skybags
Size & Capacity,spacious,Spacious,0.0,RT94OW3LITNT0M,BD33B5463E,Skybags
Material,material,The material feels durable and the zipper is very smooth,0.0,RT94OW3LITNT0M,BD33B5463E,Skybags
Zipper,zipper,The material feels durable and the zipper is very smooth,0.0,RT94OW3LITNT0M,BD33B5463E,Skybags
Durability,durable,The material feels durable and the zipper is very smooth,0.0,RT94OW3LITNT0M,BD33B5463E,Skybags
Wheels,wheels,The material feels durable and the wheels is very smooth,0.0,RKH4A3YJTU7FBM,BD33B5463E,Skybags
Material,material,The material feels durable and the wheels is very smooth,0.0,RKH4A3YJTU7FBM,BD33B5463E,Skybags
Durability,durable,The material feels durable and the wheels is very smooth,0.0,RKH4A3YJTU7FBM,BD33B5463E,Skybags
Material,build,Sturdy build,0.0,RUUHCLRR6Z3DXB,BD33B5463E,Skybags
Durability,sturdy,Sturdy build,0.0,RUUHCLRR6Z3DXB,BD33B5463E,Skybags
Zipper,zipper,zipper stiffness though,0.0,RUUHCLRR6Z3DXB,BD33B5463E,Skybags
Material,material,The material is mediocre,0.0,RUUHCLRR6Z3DXB,BD33B5463E,Skybags
Durability,quality,Skybags quality is reliable,0.0,RXVA1NKBTFSHB0,BD33B5463E,Skybags
Material,build,"The build quality is good, Spacious",0.4404,RFMR0TJOPZ1RHO,BD33B5463E,Skybags
Size & Capacity,spacious,"The build quality is good, Spacious",0.4404,RFMR0TJOPZ1RHO,BD33B5463E,Skybags
Durability,build quality,"The build quality is good, Spacious",0.4404,RFMR0TJOPZ1RHO,BD33B5463E,Skybags
Size & Capacity,packing,Packing was easy due to the spacious compartments,0.4404,RFMR0TJOPZ1RHO,BD33B5463E,Skybags
Handle,handle,The handle is excellent,0.5719,RFMR0TJOPZ1RHO,BD33B5463E,Skybags
Size & Capacity,spacious,Spacious and color options,0.0,R7DYPMLVAK9W9P,BD33B5463E,Skybags
Durability,sturdy,Looks premium and feels sturdy,0.0,R7DYPMLVAK9W9P,BD33B5463E,Skybags
Handle,handle,The handle quality is really good for this price range,0.4927,R7DYPMLVAK9W9P,BD33B5463E,Skybags
Durability,quality,The handle quality is really good for this price range,0.4927,R7DYPMLVAK9W9P,BD33B5463E,Skybags
Material,build,"The build quality is good, Sturdy build",0.4404,R4EB8753AYEQAH,BD33B5463E,Skybags
Durability,build quality,"The build quality is good, Sturdy build",0.4404,R4EB8753AYEQAH,BD33B5463E,Skybags
Size & Capacity,packing,Packing was easy due to the spacious compartments,0.4404,R4EB8753AYEQAH,BD33B5463E,Skybags
Material,material,The material is excellent,0.5719,R4EB8753AYEQAH,BD33B5463E,Skybags
Material,build,"Stylish design, sturdy build, and excellent zipper",0.5719,R6SJCHZJQ8CXX6,BD33B5463E,Skybags
Zipper,zipper,"Stylish design, sturdy build, and excellent zipper",0.5719,R6SJCHZJQ8CXX6,BD33B5463E,Skybags
Durability,sturdy,"Stylish design, sturdy build, and excellent zipper",0.5719,R6SJCHZJQ8CXX6,BD33B5463E,Skybags
Material,build,"The build quality is good, Spacious",0.4404,RDL5TGSQ7AITMO,BD33B5463E,Skybags
Size & Capacity,spacious,"The build quality is good, Spacious",0.4404,RDL5TGSQ7AITMO,BD33B5463E,Skybags
Durability,build quality,"The build quality is good, Spacious",0.4404,RDL5TGSQ7AITMO,BD33B5463E,Skybags
Size & Capacity,packing,Packing was easy due to the spacious compartments,0.4404,RDL5TGSQ7AITMO,BD33B5463E,Skybags
Weight,weight,The weight is excellent,0.5719,RDL5TGSQ7AITMO,BD33B5463E,Skybags
Size & Capacity,pockets,The interiors are well-organized with multiple pockets,0.0,R563BTKF6XDN8W,BD33B5463E,Skybags
Durability,quality,lock quality is commendable,0.0,R563BTKF6XDN8W,BD33B5463E,Skybags
Lock,lock,lock quality is commendable,0.0,R563BTKF6XDN8W,BD33B5463E,Skybags
Wheels,wheels,Smooth wheels,0.0,RET25LZSE99F77,B123E4A758,American Tourister
Material,material,The material feels durable and the build quality is very smooth,0.0,RET25LZSE99F77,B123E4A758,American Tourister
Durability,durable,The material feels durable and the build quality is very smooth,0.0,RET25LZSE99F77,B123E4A758,American Tourister
Material,build,"Excellent build quality, premium finish, and excellent zipper",0.8126,R8K03W0FGEA9WV,B123E4A758,American Tourister
Zipper,zipper,"Excellent build quality, premium finish, and excellent zipper",0.8126,R8K03W0FGEA9WV,B123E4A758,American Tourister
Durability,build quality,"Excellent build quality, premium finish, and excellent zipper",0.8126,R8K03W0FGEA9WV,B123E4A758,American Tourister
Material,build,Excellent build quality,0.5719,RSVZN4REGB1AJO,B123E4A758,American Tourister
Durability,build quality,Excellent build quality,0.5719,RSVZN4REGB1AJO,B123E4A758,American Tourister
Wheels,wheels,The wheels impressed me the most,0.4767,RSVZN4REGB1AJO,B123E4A758,American Tourister
Lock,tsa,Tsa lock,0.0,RLQIOB0NLW0VS5,B123E4A758,American Tourister
Size & Capacity,spacious,Compact yet spacious,0.0,RLQIOB0NLW0VS5,B123E4A758,American Tourister
Material,build,The build quality deserves special mention,0.4019,RLQIOB0NLW0VS5,B123E4A758,American Tourister
Durability,build quality,The build quality deserves special mention,0.4019,RLQIOB0NLW0VS5,B123E4A758,American Tourister
Wheels,wheels,Smooth wheels and TSA lock,0.0,RBN18GP51KFK7Y,B123E4A758,American Tourister
Lock,tsa,Smooth wheels and TSA lock,0.0,RBN18GP51KFK7Y,B123E4A758,American Tourister
Wheels,wheels,Really impressed with the wheels,0.5256,RBN18GP51KFK7Y,B123E4A758,American Tourister
Lock,tsa,Tsa lock,0.0,ROLAQ665DLXZF0,B123E4A758,American Tourister
Size & Capacity,pockets,The interiors are well-organized with multiple pockets,0.0,ROLAQ665DLXZF0,B123E4A758,American Tourister
Zipper,zipper,zipper quality is commendable,0.0,ROLAQ665DLXZF0,B123E4A758,American Tourister
Durability,quality,zipper quality is commendable,0.0,ROLAQ665DLXZF0,B123E4A758,American Tourister
Durability,quality,Great quality for the price,0.6249,R2S8NN16UXF5GZ,B123E4A758,American Tourister
Lock,tsa,Tsa lock,0.0,R2S8NN16UXF5GZ,B123E4A758,American Tourister
Size & Capacity,compartments,The compartments works smoothly,0.0,R2S8NN16UXF5GZ,B123E4A758,American Tourister
Durability,quality,Great quality for the price,0.6249,RWJQ4TA5IVROCV,B123E4A758,American Tourister
Wheels,wheels,Smooth wheels,0.0,RWJQ4TA5IVROCV,B123E4A758,American Tourister
Zipper,zipper,The zipper works smoothly,0.0,RWJQ4TA5IVROCV,B123E4A758,American Tourister
Wheels,wheels,Smooth wheels and trusted brand,0.4767,RXB4Y4K7BPGYVY,B123E4A758,American Tourister
Material,material,The material is really impressive,0.5563,RXB4Y4K7BPGYVY,B123E4A758,American Tourister
Wheels,wheels,Excellent build quality and smooth wheels,0.5719,RL6314CQE4LOHH,B123E4A758,American Tourister
Material,build,Excellent build quality and smooth wheels,0.5719,RL6314CQE4LOHH,B123E4A758,American Tourister
Durability,build quality,Excellent build quality and smooth wheels,0.5719,RL6314CQE4LOHH,B123E4A758,American Tourister
Size & Capacity,compartments,Really impressed with the compartments,0.5256,RL6314CQE4LOHH,B123E4A758,American Tourister
Lock,tsa,Tsa lock,0.0,RVLS9MEUSWRGVZ,B123E4A758,American Tourister
Handle,handle,The handle is even better than my previous bag,0.4404,RVLS9MEUSWRGVZ,B123E4A758,American Tourister
Lock,tsa,Tsa lock,0.0,RBM3HXYJCKT1EL,B123E4A758,American Tourister
Size & Capacity,pockets,The interiors are well-organized with multiple pockets,0.0,RBM3HXYJCKT1EL,B123E4A758,American Tourister
Material,material,material quality is commendable,0.0,RBM3HXYJCKT1EL,B123E4A758,American Tourister
Durability,quality,material quality is commendable,0.0,RBM3HXYJCKT1EL,B123E4A758,American Tourister
Wheels,wheels,Smooth wheels,0.0,R47RRBEFQ56Q37,B123E4A758,American Tourister
Size & Capacity,spacious,Compact yet spacious,0.0,R47RRBEFQ56Q37,B123E4A758,American Tourister
Wheels,wheels,The wheels deserves special mention,0.4019,R47RRBEFQ56Q37,B123E4A758,American Tourister
Material,build,"The build quality is good, Tsa lock",0.4404,RCF4MNTFVGE2L4,B123E4A758,American Tourister
Durability,build quality,"The build quality is good, Tsa lock",0.4404,RCF4MNTFVGE2L4,B123E4A758,American Tourister
Lock,tsa,"The build quality is good, Tsa lock",0.4404,RCF4MNTFVGE2L4,B123E4A758,American Tourister
Size & Capacity,packing,Packing was easy due to the spacious compartments,0.4404,RCF4MNTFVGE2L4,B123E4A758,American Tourister
Wheels,wheels,The wheels is excellent,0.5719,RCF4MNTFVGE2L4,B123E4A758,American Tourister
Material,build,Excellent build quality and the lock is top notch,0.6705,R26PARSG70S1F5,B630890FAD,American Tourister
Durability,build quality,Excellent build quality and the lock is top notch,0.6705,R26PARSG70S1F5,B630890FAD,American Tourister
Lock,lock,Excellent build quality and the lock is top notch,0.6705,R26PARSG70S1F5,B630890FAD,American Tourister
Material,build,Trusted brand and excellent build quality,0.7783,R45L6D10A1WHHK,B630890FAD,American Tourister
Durability,build quality,Trusted brand and excellent build quality,0.7783,R45L6D10A1WHHK,B630890FAD,American Tourister
Handle,handle,The handle is really impressive,0.5563,R45L6D10A1WHHK,B630890FAD,American Tourister
Wheels,wheels,Smooth wheels and trusted brand,0.4767,RE8UDTTJ72UGL6,B630890FAD,American Tourister
Durability,sturdy,Looks premium and feels sturdy,0.0,RE8UDTTJ72UGL6,B630890FAD,American Tourister
Handle,handle,The handle quality is really good for this price range,0.4927,RE8UDTTJ72UGL6,B630890FAD,American Tourister
Durability,quality,The handle quality is really good for this price range,0.4927,RE8UDTTJ72UGL6,B630890FAD,American Tourister
Wheels,wheels,Excellent build quality and smooth wheels,0.5719,ROZ6WYQMLH13C7,B630890FAD,American Tourister
Material,build,Excellent build quality and smooth wheels,0.5719,ROZ6WYQMLH13C7,B630890FAD,American Tourister
Durability,build quality,Excellent build quality and smooth wheels,0.5719,ROZ6WYQMLH13C7,B630890FAD,American Tourister
Durability,quality,American Tourister quality is reliable,0.0,ROZ6WYQMLH13C7,B630890FAD,American Tourister
Durability,quality,Great quality for the price,0.6249,RX1Q8F6JNG7L4L,B630890FAD,American Tourister
Material,finish,Premium finish,0.0,RX1Q8F6JNG7L4L,B630890FAD,American Tourister
Material,build,The build quality works smoothly,0.0,RX1Q8F6JNG7L4L,B630890FAD,American Tourister
Durability,build quality,The build quality works smoothly,0.0,RX1Q8F6JNG7L4L,B630890FAD,American Tourister
Wheels,wheels,Trusted brand and smooth wheels,0.4767,RD32LX2TOOWT9N,B630890FAD,American Tourister
Durability,sturdy,Looks premium and feels sturdy,0.0,RD32LX2TOOWT9N,B630890FAD,American Tourister
Zipper,zipper,The zipper quality is really good for this price range,0.4927,RD32LX2TOOWT9N,B630890FAD,American Tourister
Durability,quality,The zipper quality is really good for this price range,0.4927,RD32LX2TOOWT9N,B630890FAD,American Tourister
Material,finish,Premium finish,0.0,RYGY0Z4EVLDQLO,B630890FAD,American Tourister
Size & Capacity,pockets,The interiors are well-organized with multiple pockets,0.0,RYGY0Z4EVLDQLO,B630890FAD,American Tourister
Durability,quality,weight quality is commendable,0.0,RYGY0Z4EVLDQLO,B630890FAD,American Tourister
Weight,weight,weight quality is commendable,0.0,RYGY0Z4EVLDQLO,B630890FAD,American Tourister
Material,build,Excellent build quality and easy to maneuver,0.765,R356WAFFTOUHYL,B630890FAD,American Tourister
Durability,build quality,Excellent build quality and easy to maneuver,0.765,R356WAFFTOUHYL,B630890FAD,American Tourister
Material,build,The build quality makes it very convenient to use,0.0,R356WAFFTOUHYL,B630890FAD,American Tourister
Durability,build quality,The build quality makes it very convenient to use,0.0,R356WAFFTOUHYL,B630890FAD,American Tourister
Material,build,"Trusted brand, excellent build quality, and excellent weight",0.8885,RA9OEKNTBZ3M55,B630890FAD,American Tourister
Durability,build quality,"Trusted brand, excellent build quality, and excellent weight",0.8885,RA9OEKNTBZ3M55,B630890FAD,American Tourister
Weight,weight,"Trusted brand, excellent build quality, and excellent weight",0.8885,RA9OEKNTBZ3M55,B630890FAD,American Tourister
Size & Capacity,spacious,Compact yet spacious,0.0,RK5EAXF5X9EE34,BE8E47B1D7,American Tourister
Weight,weight,The weight deserves special mention,0.4019,RK5EAXF5X9EE34,BE8E47B1D7,American Tourister
Lock,tsa,Tsa lock,0.0,R3NIPAR0ZJ7UBB,BE8E47B1D7,American Tourister
Zipper,zipper,The zipper is even better than my previous bag,0.4404,R3NIPAR0ZJ7UBB,BE8E47B1D7,American Tourister
Zipper,zipper,"Tsa lock, trusted brand, and excellent zipper",0.7783,RSSVIWXYYTUW6T,BE8E47B1D7,American Tourister
Lock,tsa,"Tsa lock, trusted brand, and excellent zipper",0.7783,RSSVIWXYYTUW6T,BE8E47B1D7,American Tourister
Size & Capacity,fits,Fits all airline requirements,0.0,R82KB700UCRGB9,BE8E47B1D7,American Tourister
Material,build,build quality is of great quality,0.6249,R82KB700UCRGB9,BE8E47B1D7,American Tourister
Durability,build quality,build quality is of great quality,0.6249,R82KB700UCRGB9,BE8E47B1D7,American Tourister
Wheels,wheels,Smooth wheels and premium finish,0.0,R4AEGVFQ3JZR25,BE8E47B1D7,American Tourister
Material,finish,Smooth wheels and premium finish,0.0,R4AEGVFQ3JZR25,BE8E47B1D7,American Tourister
Durability,sturdy,Looks premium and feels sturdy,0.0,R4AEGVFQ3JZR25,BE8E47B1D7,American Tourister
Durability,quality,The lock quality is really good for this price range,0.4927,R4AEGVFQ3JZR25,BE8E47B1D7,American Tourister
Lock,lock,The lock quality is really good for this price range,0.4927,R4AEGVFQ3JZR25,BE8E47B1D7,American Tourister
